header,inverter,temp,freq,power,error
9,10,0.000000,425.68751726694995,1.957362e-04,7.548347816966512
9,10,20.000000,1955.5908778725673,2.688996e-04,0.0
9,10,40.000000,7081.686546141083,3.519639e-04,-7.099561662030325
9,10,60.000000,21158.63858548577,4.419718e-04,-13.751181246921348
9,10,80.000000,54140.092904399426,5.433669e-04,-20.000000000000014
9,10,100.000000,122391.65034370022,6.520979e-04,-25.932848985550024
7,4,0.000000,732.6404508376278,2.310169e-04,7.696837971726566
7,4,20.000000,3352.223110561347,3.111011e-04,0.0
7,4,40.000000,11795.12342417151,3.994730e-04,-6.878548516878752
7,4,60.000000,34143.093705720676,4.957029e-04,-13.21053154320073
7,4,80.000000,89385.23516808447,6.036899e-04,-19.999999999999986
7,4,100.000000,212812.05163160872,7.204639e-04,-27.04083579643246
7,10,0.000000,380.97618289295025,1.996509e-04,7.559914091285961
7,10,20.000000,1755.1970507072917,2.698721e-04,0.0
7,10,40.000000,6373.189775109253,3.492299e-04,-7.113226504900425
7,10,60.000000,19069.27084257001,4.351143e-04,-13.76242991267982
7,10,80.000000,48834.20543085198,5.291341e-04,-20.000000000000014
7,10,100.000000,110440.6870559318,6.306122e-04,-25.914518480986814
5,6,0.000000,490.3636193346452,2.305679e-04,7.538740816898141
5,6,20.000000,2234.304846318927,3.120853e-04,0.0
5,6,40.000000,7971.703640756769,4.031345e-04,-6.974082437791495
5,6,60.000000,23574.83075629,5.011053e-04,-13.544132636648115
5,6,80.000000,60799.291809849004,6.093747e-04,-19.999999999999986
5,6,100.000000,139619.311193713,7.245055e-04,-26.29776031118938
5,10,0.000000,357.59649383789724,2.421326e-04,7.561293506017591
5,10,20.000000,1651.1985141855291,3.273549e-04,0.0
5,10,40.000000,failed,failed,failed
5,10,60.000000,18012.049701008982,5.264336e-04,-13.769943269226758
5,10,80.000000,46175.12933653727,6.377324e-04,-20.0
5,10,100.000000,104479.85591809949,7.555776e-04,-25.898896955199547
7,2,0.000000,526.2545777570083,2.091107e-04,3.736475668944479
7,2,20.000000,2335.58530468411,2.877926e-04,0.0
7,2,40.000000,8940.265615291431,3.778967e-04,-4.460717977996893
7,2,60.000000,47456.13747853203,4.739799e-04,-15.880122756741827
7,2,80.000000,126116.41402606222,5.820336e-04,-20.0
7,2,100.000000,292126.2908695636,6.976147e-04,-23.699275957726456
7,8,0.000000,451.04371515687296,2.214291e-04,7.519085816334794
7,8,20.000000,2065.7789463659747,2.997284e-04,0.0
7,8,40.000000,7452.436685961025,3.869434e-04,-7.05368603651776
7,8,60.000000,22263.766410343924,4.809263e-04,-13.711216367721036
7,8,80.000000,57073.68383804543,5.834645e-04,-20.000000000000014
7,8,100.000000,129446.4030404371,6.920716e-04,-26.00273656509718
9,6,0.000000,610.4301762495048,2.256846e-04,7.522939981648065
9,6,20.000000,2779.4701662790235,3.036722e-04,0.0
9,6,40.000000,9946.725339083867,3.913039e-04,-7.016642382294123
9,6,60.000000,29510.364039850796,4.863160e-04,-13.641932276600556
9,6,80.000000,75630.72240953431,5.894964e-04,-20.0
9,6,100.000000,172223.01157769194,6.987752e-04,-26.150243557151327
9,2,0.000000,1106.468369831299,2.014127e-04,8.563218442651745
9,2,20.000000,5462.725637882473,2.712695e-04,0.0
9,2,40.000000,19536.22563246577,3.465408e-04,-7.043920114656856
9,2,60.000000,60303.446945027375,4.372970e-04,-14.329495849314526
9,2,80.000000,147431.0652882255,5.353027e-04,-20.0
9,2,100.000000,332160.1437057646,6.426416e-04,-26.01252799508768
9,8,0.000000,513.4851469286399,1.935759e-04,7.526859279184663
9,8,20.000000,2352.309650515003,2.652872e-04,0.0
9,8,40.000000,8497.656771145357,3.463410e-04,-7.080895845606847
9,8,60.000000,25366.166961632913,4.318578e-04,-13.735910227430196
9,8,80.000000,64889.9369334703,5.325431e-04,-20.0
9,8,100.000000,146756.1174553781,6.418321e-04,-25.961807660333847
5,8,0.000000,397.46133496133496,1.840059e-04,7.457402452438288
5,8,20.000000,1819.4713271333028,2.503621e-04,0.0
5,8,40.000000,6590.862954868407,3.258749e-04,-7.058889240929375
5,8,60.000000,19761.666398566726,4.085344e-04,-13.721505664346637
5,8,80.000000,50779.31007166992,4.997933e-04,-20.0
5,8,100.000000,115365.81519388552,5.981084e-04,-25.98443005511578
5,4,0.000000,617.6686590598713,2.241029e-04,7.013423179528502
5,4,20.000000,2769.2185846689968,3.057870e-04,0.0
5,4,40.000000,10259.293380909096,3.967864e-04,-7.218980768525853
5,4,60.000000,30046.42473085164,4.946973e-04,-13.372969358212856
5,4,80.000000,79565.63528385836,6.048656e-04,-20.0
5,4,100.000000,190368.85870061832,7.235242e-04,-26.7837831178787
9,4,0.000000,761.2366136541489,2.313580e-04,7.872531781996983
9,4,20.000000,3553.4039299936785,3.123811e-04,0.0
9,4,40.000000,12695.307788850627,4.024060e-04,-7.028778018637212
9,4,60.000000,37149.24150536156,5.012020e-04,-13.474644966317754
