header,inverter,temp,freq,power,error,run_time
9,10,0.000000,908.7604507451836,2.163202e-04,7.624350349091529,169.15
9,10,20.000000,4202.6854319373,3.084744e-04,0.0,70.35
9,10,40.000000,15235.253645643845,4.135756e-04,-7.11978802749158,36.8667
9,10,60.000000,45461.5093312021,5.294626e-04,-13.769613500555579,22.2333
9,10,80.000000,115999.21491731344,6.544185e-04,-20.0,17.1833
9,10,100.000000,260966.6675104589,7.871567e-04,-25.88189510882978,14.4333
7,4,0.000000,1451.499733069199,2.163309e-04,7.491794105256133,134.5667
7,4,20.000000,6576.34279055269,3.084886e-04,0.0,52.5333
7,4,40.000000,23396.99030475516,4.135898e-04,-6.977978264327632,29.0
7,4,60.000000,69137.40713982003,5.294807e-04,-13.59314228332677,18.2
7,4,80.000000,177114.5036410314,6.544516e-04,-19.999999999999986,14.3333
7,4,100.000000,402940.82330480777,7.872306e-04,-26.19544198046158,12.85
7,10,0.000000,824.0830016399252,2.163206e-04,7.613084489040972,172.7667
7,10,20.000000,3815.643374707626,3.084747e-04,0.0,75.4833
7,10,40.000000,13856.86605634562,4.135757e-04,-7.118229325003085,38.3333
7,10,60.000000,41422.24092666523,5.294626e-04,-13.768864464324565,22.8667
7,10,80.000000,105865.00602583613,6.544184e-04,-20.0,17.35
7,10,100.000000,238509.50639265103,7.871553e-04,-25.881588720850516,14.75
5,6,0.000000,991.4831596585333,2.163263e-04,7.440130088811301,157.6667
5,6,20.000000,4542.175920290263,3.084815e-04,0.0,69.2833
5,6,40.000000,16464.238850005844,4.135826e-04,-7.055070606470693,26.0167
5,6,60.000000,49366.406851267406,5.294721e-04,-13.718900291701615,20.4333
5,6,80.000000,126763.8396006432,6.544345e-04,-20.000000000000014,13.8
5,6,100.000000,287147.39735341986,7.871876e-04,-25.956115367989597,11.1667
5,10,0.000000,722.48540760098,2.163211e-04,7.601110666800679,184.4167
5,10,20.000000,3351.1603895522885,3.084751e-04,0.0,77.7167
5,10,40.000000,12198.87087251204,4.135759e-04,-7.116815052951878,38.1
5,10,60.000000,36550.69618111016,5.294625e-04,-13.768444330316512,21.7
5,10,80.000000,93610.34506645399,6.544180e-04,-20.000000000000014,16.55
5,10,100.000000,211288.15415076635,7.871535e-04,-25.88045892464619,14.0
7,2,0.000000,2294.3352175178916,2.163453e-04,7.7640259067342186,102.0167
7,2,20.000000,10248.244245175307,3.085124e-04,0.0,43.0333
7,2,40.000000,35781.37579389928,4.136344e-04,-7.1556825363640115,22.9833
7,2,60.000000,102975.39155877764,5.295496e-04,-13.793794100400916,16.6
7,2,80.000000,254250.30230360947,6.546085e-04,-19.999999999999986,12.6
7,2,100.000000,580467.9500426063,7.875385e-04,-26.624783645795063,11.55
7,8,0.000000,946.4301600791972,2.163225e-04,7.579297993092268,162.9167
7,8,20.000000,4375.923319820482,3.084772e-04,0.0,69.4333
7,8,40.000000,15893.617028039835,4.135784e-04,-7.106862869681962,35.3833
7,8,60.000000,47545.035846579776,5.294665e-04,-13.758203476376835,22.9833
7,8,80.000000,121646.85019202564,6.544254e-04,-19.999999999999986,16.5833
7,8,100.000000,274432.747510895,7.871696e-04,-25.900594228261,14.2167
9,6,0.000000,1245.1757223108718,2.163250e-04,7.478191540770879,147.5
9,6,20.000000,5696.350348331824,3.084804e-04,0.0,65.55
9,6,40.000000,20580.171498685133,4.135821e-04,-7.06567728257771,29.65
9,6,60.000000,61465.00612806112,5.294722e-04,-13.725893945231078,17.1667
9,6,80.000000,157229.86140973866,6.544353e-04,-19.999999999999986,15.2667
9,6,100.000000,354885.5316717593,7.871916e-04,-25.947614630386894,11.5333
9,2,0.000000,2526.2062318981534,2.163434e-04,7.760159198413817,95.7667
9,2,20.000000,11270.499771152503,3.085098e-04,0.0,42.5
9,2,40.000000,39299.91137869984,4.136306e-04,-7.149920058309533,22.2333
9,2,60.000000,113053.36797288527,5.295435e-04,-13.794546370805392,15.7667
9,2,80.000000,278883.1621780886,6.545833e-04,-20.0,12.1333
9,2,100.000000,633503.1966571303,7.875196e-04,-26.549094498653403,11.45
9,8,0.000000,1043.723018455319,2.163221e-04,7.591880577734273,157.25
9,8,20.000000,4820.61294093544,3.084768e-04,0.0,71.7833
9,8,40.000000,17478.41677704287,4.135783e-04,-7.108858431496259,34.1667
9,8,60.000000,52193.53781369621,5.294666e-04,-13.759391731949592,21.2
9,8,80.000000,133321.28108952285,6.544255e-04,-20.0,16.65
9,8,100.000000,300328.0783928363,7.871712e-04,-25.900012524955514,14.0333
5,8,0.000000,829.74331060943,2.163231e-04,7.5653995981419655,170.1
5,8,20.000000,3842.4931325041493,3.084777e-04,0.0,75.9
5,8,40.000000,13988.31080795644,4.135786e-04,-7.104944271688225,37.3333
5,8,60.000000,41941.576223152675,5.294665e-04,-13.757296958024824,22.2
5,8,80.000000,107535.57707031794,6.544249e-04,-20.0,12.1833
5,8,100.000000,243057.3109694681,7.871673e-04,-25.900843362865857,13.05
5,4,0.000000,1274.7385320060075,2.163320e-04,7.476676228841626,141.1667
5,4,20.000000,5781.670255156671,3.084897e-04,0.0,55.5833
5,4,40.000000,20601.21769677562,4.135903e-04,-6.969777454360624,30.0333
5,4,60.000000,60980.66668943279,5.294807e-04,-13.581387135380552,18.8333
5,4,80.000000,156607.79988279473,6.544511e-04,-20.000000000000014,14.1
5,4,100.000000,357274.79362021544,7.872271e-04,-26.216243094976548,10.35
9,4,0.000000,1598.638471586519,2.163301e-04,7.505119495526472,129.1
9,4,20.000000,7238.3464431851335,3.084878e-04,0.0,54.0833
9,4,40.000000,25723.66456238516,4.135894e-04,-6.984654447956672,28.05
