header,inverter,temp,freq,power,error,run_time
9,10,-20.000000,failed,failed,failed,2.2833
9,10,0.000000,425.66486723938453,1.982553e-04,0.0,312.8833
9,10,20.000000,1955.4876262609473,2.717107e-04,-0.6985304883520982,104.75
9,10,40.000000,7081.325482503815,3.547753e-04,-0.904594766520809,43.4333
9,10,60.000000,21157.50151910861,4.445381e-04,-0.6519831759695691,22.7833
9,10,80.000000,54137.01537220551,5.455152e-04,0.0,15.5
9,10,100.000000,122384.41556852151,6.537121e-04,0.9669118919233313,11.45
7,4,-20.000000,failed,failed,failed,2.0667
7,4,0.000000,731.8865400210198,2.311757e-04,0.0,164.7833
7,4,20.000000,3345.456151273498,3.113938e-04,-0.7632442765305001,55.9167
7,4,40.000000,11755.735564603292,3.999925e-04,-0.750954930195121,25.05
7,4,60.000000,34089.041941111864,4.963106e-04,-0.2449643607575922,13.8333
7,4,80.000000,89440.95823465014,6.044382e-04,-1.4210854715202004e-14,9.25
7,4,100.000000,212813.99907511036,7.213457e-04,0.1693121533302957,7.55
7,10,-20.000000,failed,failed,failed,2.0167
7,10,0.000000,382.7031933902566,2.029696e-04,0.0,343.4
7,10,20.000000,1763.1267430711764,2.739337e-04,-0.7046918494363581,111.4167
7,10,40.000000,6402.8520864333805,3.540466e-04,-0.9196999369420524,45.35
7,10,60.000000,19160.130986319477,4.406863e-04,-0.6634267160740848,23.0333
7,10,80.000000,49068.17090051379,5.354999e-04,-1.4210854715202004e-14,16.3667
7,10,100.000000,110967.98706734691,6.377617e-04,0.9843673661978727,11.1667
5,6,-20.000000,failed,failed,failed,2.15
5,6,0.000000,490.30279139185194,2.316369e-04,0.0,280.7
5,6,20.000000,2234.2494351817427,3.129706e-04,-0.692684014302408,93.2333
5,6,40.000000,7971.621029136276,4.040501e-04,-0.8048762658010631,40.4333
5,6,60.000000,23574.402819121387,5.027783e-04,-0.4928100014260295,20.45
5,6,80.000000,60798.33072103172,6.112095e-04,0.0,14.1833
5,6,100.000000,139617.28389373617,7.263906e-04,0.6897653750119161,10.3833
5,10,-20.000000,failed,failed,failed,2.0
5,10,0.000000,357.59470359332613,2.344565e-04,0.0,365.2667
5,10,20.000000,1651.188426357987,3.185813e-04,-0.7070645741117545,116.3833
5,10,40.000000,6009.47092617966,4.133025e-04,-0.9261969158585828,47.6167
5,10,60.000000,18011.926416957725,5.160859e-04,-0.6695803686288286,24.7333
5,10,80.000000,46174.724233003195,6.268475e-04,0.0,16.0667
5,10,100.000000,104478.29494765951,7.442963e-04,0.9963367357109405,12.0333
7,2,-20.000000,failed,failed,failed,2.0
7,2,0.000000,526.2595627940804,2.189313e-04,0.0,246.4167
7,2,20.000000,2335.5880321666527,2.994816e-04,1.5395276667410158,77.5
