header,inverter,temp,freq,power,error,run_time
9,10,-20.000000,failed,failed,failed,1.6833
9,10,0.000000,908.7604507451836,2.163202e-04,0.0,150.95
9,10,20.000000,4202.6854319373,3.084744e-04,-0.7371177419530568,44.8833
9,10,40.000000,15235.253645643845,4.135756e-04,-0.9427059015727224,19.4833
9,10,60.000000,45461.5093312021,5.294626e-04,-0.6760186324950865,11.9167
9,10,80.000000,115999.21491731344,6.544185e-04,1.4210854715202004e-14,8.1
9,10,100.000000,260966.6675104589,7.871567e-04,1.013170452287298,6.1833
7,4,-20.000000,231.31977182617706,1.395759e-04,1.43121506815055,356.4667
7,4,0.000000,1451.499733069199,2.163309e-04,0.0,99.3833
7,4,20.000000,6576.34279055269,3.084886e-04,-0.6586718822268409,32.2667
7,4,40.000000,23396.99030475516,4.135898e-04,-0.7813388951066145,15.4167
7,4,60.000000,69137.40713982003,5.294807e-04,-0.5150390063879513,8.3333
7,4,80.000000,177114.5036410314,6.544516e-04,0.0,6.3
7,4,100.000000,402940.82330480777,7.872306e-04,0.7490887393457228,5.0833
7,10,-20.000000,failed,failed,failed,1.7
7,10,0.000000,824.0830016399252,2.163206e-04,0.0,163.2833
7,10,20.000000,3815.643374707626,3.084747e-04,-0.7313472548134712,47.25
7,10,40.000000,13856.86605634562,4.135757e-04,-0.9380842321376974,20.15
7,10,60.000000,41422.24092666523,5.294626e-04,-0.6739113427559857,12.9333
7,10,80.000000,105865.00602583613,6.544184e-04,-1.4210854715202004e-14,8.0167
7,10,100.000000,238509.50639265103,7.871553e-04,1.012156306457186,5.3833
5,6,-20.000000,failed,failed,failed,1.5833
5,6,0.000000,991.4831596585333,2.163263e-04,0.0,135.8
5,6,20.000000,4542.175920290263,3.084815e-04,-0.6318849279603,40.7833
5,6,40.000000,16464.238850005844,4.135826e-04,-0.8239152883224676,16.7167
5,6,60.000000,49366.406851267406,5.294721e-04,-0.603098841537232,9.8167
5,6,80.000000,126763.8396006432,6.544345e-04,0.0,6.4833
5,6,100.000000,287147.39735341986,7.871876e-04,0.9232893775185289,5.5167
5,10,-20.000000,failed,failed,failed,1.8333
5,10,0.000000,722.48540760098,2.163211e-04,0.0,180.3833
5,10,20.000000,3351.1603895522885,3.084751e-04,-0.72539600711535,50.85
5,10,40.000000,12198.87087251204,4.135759e-04,-0.9335802762321492,20.6
5,10,60.000000,36550.69618111016,5.294625e-04,-0.6721124054941754,12.7333
5,10,80.000000,93610.34506645399,6.544180e-04,-1.4210854715202004e-14,8.35
5,10,100.000000,211288.15415076635,7.871535e-04,1.011912544577953,5.7333
7,2,-20.000000,369.4799237541229,1.395903e-04,1.6350017121035663,309.0667
7,2,0.000000,2294.3352175178916,2.163453e-04,0.0,65.6833
7,2,20.000000,10248.244245175307,3.085124e-04,-0.8099507950706055,23.3833
7,2,40.000000,35781.37579389928,4.136344e-04,-1.0141797323711188,11.75
7,2,60.000000,102975.39155877764,5.295496e-04,-0.7145167858653849,7.0833
7,2,80.000000,254250.30230360947,6.546085e-04,0.0,5.1167
7,2,100.000000,580467.9500426063,7.875385e-04,0.47152105920147847,4.1833
7,8,-20.000000,failed,failed,failed,1.9167
7,8,0.000000,946.4301600791972,2.163225e-04,0.0,144.7333
7,8,20.000000,4375.923319820482,3.084772e-04,-0.7113587086995921,43.6667
7,8,40.000000,15893.617028039835,4.135784e-04,-0.9158281893934088,17.95
7,8,60.000000,47545.035846579776,5.294665e-04,-0.658910471106509,11.1333
7,8,80.000000,121646.85019202564,6.544254e-04,0.0,6.5333
7,8,100.000000,274432.747510895,7.871696e-04,0.9907324084681477,5.6333
9,6,-20.000000,196.64697247237353,1.395725e-04,1.405832014824803,406.5667
9,6,0.000000,1245.1757223108718,2.163250e-04,0.0,116.9
